Title,ID,Abstract,Full text,FT_Relevant_Lorena,FT_Relevant_Manuel,FT_Relevant_Katja,Comments_Lorena,Comments_Manuel,Comments_Katja,DOI
Context-dependent changes in tactile perception during movement execution,37,"Tactile perception is inhibited during movement execution, a phenomenon known as tactile suppression. Here, we investigated whether the type of movement determines whether or not this form of sensory suppression occurs. Participants performed simple reaching or exploratory movements. Tactile discrimination thresholds were calculated for vibratory stimuli delivered to participants' wrists while executing the movement, and while at rest (a tactile discrimination task, TD). We also measured discrimination performance in a same vs. different task for the explored materials during the execution of the different movements (a surface discrimination task, SD). The TD and SD tasks could either be performed singly or together, both under active movement and passive conditions. Consistent with previous results, tactile thresholds measured at rest were significantly lower than those measured during both active movement and passive touch (that is, tactile suppression was observed). Moreover, SD performance was significantly better under conditions of single-tasking, active movements, as well as exploratory movements, as compared to conditions of dual-tasking, passive movements, and reaching movements, respectively. Therefore, the present results demonstrate that when active hand movements are made with the purpose of gaining information about the surface properties of different materials an enhanced perceptual performance is observed. As such, it would appear that tactile suppression occurs for irrelevant tactual features during both reaching and exploratory movements, but not for those task-relevant features that result from action execution during tactile exploration. Taken together, then, these results support a context-dependent modulation of tactile suppression during movement execution. © 2013 Juravle, McGlone and Spence.",21.pdf (https://dl.airtable.com/.attachments/cef908c6e94c45137d48ccac00a4f862/af832f50/21.pdf),checked,checked,checked,,,,https://doi.org/10.3389/fpsyg.2013.00913
Active versus passive proprioceptive straight-ahead pointing in normal subjects,39,"Eighty blindfolded healthy female subjects participated in an active and a passive straight-ahead pointing task to study the estimation of the subjective sagittal middle in the presence or absence of an active haptic exploration. Subjects were to point straight-ahead with their left or right index finger starting from different right- or left-sided locations, while performing either an active movement or with the hand being passively moved by the examiner. Results showed: (i) a significant effect of the hand used only on the active straight-ahead pointing task performance; (ii) a significant effect of the starting position both on the active and passive pointing performance; (iii) a significant correlation between the two protocols only in terms of spatial bias (algebraic error) but not in terms of precision (absolute errors). These results are discussed with regards to normal and neuropsychological studies of the egocentric frame of reference. © 2004 Elsevier Inc. All rights reserved.",23.pdf (https://dl.airtable.com/.attachments/57cd5693715a16a9bd4f7deaef1e4191/f2dfcc79/23.pdf),checked,checked,checked,,,,https://doi.org/10.1016/j.bandc.2004.02.015
Efference Copy Is Necessary for the Attenuation of Self-Generated Touch,43,"Self-generated touch feels less intense than external touch of the same intensity. According to theory, this is because the brain predicts and attenuates the somatosensory consequences of our movements using a copy of the motor command, i.e., the efference copy. However, whether the efference copy is necessary for this somatosensory attenuation is unclear. Alternatively, a predictable contact of two body parts could be sufficient. Here we quantified the attenuation of touch applied on the participants' left index finger when the touch was triggered by the active or passive movement of the right index finger and when it was externally generated. We observed attenuation only when the touch was triggered by the participants' active movement. In contrast, during the passive movement, the touch was perceived to be as strong as when the touch was externally triggered. Our results suggest that the efference copy is necessary for the attenuation of self-generated touch.",26.pdf (https://dl.airtable.com/.attachments/23916625f52e32740c8c613bf596dd00/8a856511/26.pdf),checked,checked,checked,,,it's ok even if within the same modality,https://doi.org/10.1016/j.isci.2020.100843
Where is your arm? Variations in proprioception across space and tasks,159,"The sense of limb position is crucial for movement control and environmental interactions. Our understanding of this fundamental proprioceptive process, however, is limited. For example, little is known about the accuracy of arm proprioception: Does it vary with changes in arm configuration, since some peripheral receptors are engaged only when joints move toward extreme angles? Are these variations consistent across different tasks? Does proprioceptive ability change depending on what we try to localize (e.g., fingertip position vs. elbow angle)? We used a robot exoskeleton to study proprioception in 14 arm configurations across three tasks, asking healthy subjects to 1) match a pointer to elbow angles after passive movements, 2) match a pointer to fingertip positions after passive movements, and 3) actively match their elbow angle to a pointer. Across all three tasks, subjects overestimated more extreme joint positions; this may be due to peripheral sensory signals biasing estimates as a safety mechanism to prevent injury. We also found that elbow angle estimates were more precise when used to judge fingertip position versus directly reported, suggesting that the brain has better access to limb endpoint position than joint angles. Finally, precision of elbow angle estimates improved in active versus passive movements, corroborating work showing that efference copies of motor commands and alpha-gamma motor neuron coactivation contribute to proprioceptive estimates. In sum, we have uncovered fundamental aspects of normal proprioceptive processing, demonstrating not only predictable biases that are dependent on joint configuration and independent of task but also improved precision when integrating information across joints. Copyright © 2010 The American Physiological Society.",28.pdf (https://dl.airtable.com/.attachments/e61881e453dcf1c6d68d9e341afb9b0c/36b1d209/28.pdf),checked,checked,checked,,,in the passive condition it was still the subject rotating the environment..,https://doi.org/10.1152/jn.00494.2009
Heading judgments during active and passive self-motion,44,"Previous studies have generally considered heading perception to be a visual task. However, since judgments of heading direction are required only during self-motion, there are several other relevant senses which could provide supplementary and, in some cases, necessary information to make accurate and precise judgments of the direction of self-motion. We assessed the contributions of several of these senses using tasks chosen to reflect the reference system used by each sensory modality. Head-pointing and rod-pointing tasks were performed in which subjects aligned either the head or an unseen pointer with the direction of motion during whole body linear motion. Passive visual and vestibular stimulation was generated by accelerating subjects at sub- or supravestibular thresholds down a linear track. The motor-kinesthetic system was stimulated by having subjects actively walk along the track. A helmet-mounted optical system, fixed either on the cart used to provide passive visual or vestibular information or on the walker used in the active walking conditions, provided a stereoscopic display of an optical flow field. Subjects could be positioned at any orientation relative to the heading, and heading judgments were obtained using unimodal visual, vestibular, or walking cues, or combined visual-vestibular and visual-walking cues. Vision alone resulted in reasonably precise and accurate head-pointing judgments (0.3° constant errors, 2.9° variable errors), but not rod-pointing judgments (3.5° constant errors, 5.9° variable errors). Concordant visual-walking stimulation slightly decreased the variable errors and reduced constant pointing errors to close to zero, while head-pointing errors were unaffected. Concordant visual-vestibular stimulation did not facilitate either response. Stimulation of the vestibular system in the absence of vision produced imprecise rod-pointing responses, while variable and constant pointing errors in the active walking condition were comparable to those obtained in the visual condition. During active self-motion, subjects made large headpointing undershoots when visual information was not available. These results suggest that while vision provides sufficient information to identify the heading direction, it cannot, in isolation, be used to guide the motor response required to point toward or move in the direction of self-motion. © 1995 Springer-Verlag.",29.pdf (https://dl.airtable.com/.attachments/f6605167c16b7ee4d178e4d04d72fd38/0417a5f4/29.pdf),checked,checked,checked,,,,https://doi.org/10.1007/BF00231984
Tactile localization of the direction and distance of sounds,45,"In a previous paper, experiments were reported which demonstrated that human subjects can judge accurately the azimuthal direction of sounds using a tactile localization device. It was also demonstrated that a tactile analogue of selective auditory attention was possible with this system. Three additional experiments, reported here, indicate that subjects are also able to judge the distance of the sound source and can concurrently judge both the azimuthal direction and distance of a source. Comparisons were made between conditions where head movements were permitted lactive~ and conditions where the head was held still Ipassive, and between normal auditory judgments and tactile judgments. Active tactile performance was essentially similar to auditory performance. Active performance was superior to passive in both directional and distance judgment, but different components of the motor-sensory complex were found to contribute to active superiority in the two tasks. The implication of these experiments for the design of auditory prosthetic devices is discussed. © 1979 Psychonomic Society, Inc.",31.pdf (https://dl.airtable.com/.attachments/3101adc6b5401cc1eca16afe96e868bf/0eed0046/31.pdf),checked,checked,checked,,,,https://doi.org/10.3758/BF03198813
A Tactile Virtual Reality for the Study of Active Somatosensation,48,"Natural exploration of textures involves active sensing, i.e., voluntary movements of tactile sensors (e.g., human fingertips or rodent whiskers) across a target surface. Somatosensory input during moving tactile sensors varies according to both the movement and the surface texture. Combining motor and sensory information, the brain is capable of extracting textural features of the explored surface. Despite the ecological relevance of active sensing, psychophysical studies on active touch are largely missing. One reason for the lack of informative studies investigating active touch is the considerable challenge of assembling an appropriate experimental setup. A possible solution might be in the realm of virtual tactile reality that provides tactile finger stimulation depending on the position of the hand and the simulated texture of a target surface. In addition to rigorous behavioral studies, the investigation of the neuronal mechanisms of active tactile sensing in humans is highly warranted, requiring neurophysiological experiments using electroencephalography (EEG), magnetoencephalography (MEG) and/or functional magnetic resonance imaging (fMRI). However, current neuroimaging techniques impose specific requirements on the tactile stimulus delivery equipment in terms of compatibility with the neurophysiological methods being used. Here, we present a user-friendly, MEG compatible, tactile virtual reality simulator. The simulator consists of a piezo-electric tactile stimulator capable of independently protruding 16 plastic pistons of 1 mm diameter arranged in a 4 × 4 matrix. The stimulator delivers a spatial pattern of tactile stimuli to the tip of a finger depending on the position of the finger moving across a 2-dimensional plane. In order to demonstrate the functionality of the tactile virtual reality, we determined participants’ detection thresholds in active and passive touch conditions. Thresholds in both conditions were higher than reported in the literature. It could well be that the processing of the piston-related stimulation was masked by the sensory input generated by placing the finger on the scanning probe. More so, the thresholds for both the active and passive tasks did not differ significantly. In further studies, the noise introduced by the stimulator in neuromagnetic recordings was quantified and somatosensory evoked fields for active and passive touch were recorded. Due to the compatibility of the stimulator with neuroimaging techniques such as MEG, and based on the feasibility to record somatosensory-related neuromagnetic brain activity the apparatus has immense potential for the exploration of the neural underpinnings of active tactile perception.",34.pdf (https://dl.airtable.com/.attachments/2e83bd9c5fa673aa7b7425e7e0665057/a50b8636/34.pdf),checked,checked,checked,,,,https://doi.org/10.3389/fnint.2020.00005
Contact force and duration effects on static and dynamic tactile texture discrimination,229,"Tactile roughness magnitude estimates increase with contact force. However, it is not known whether discrimination thresholds are affected by contact force and other parameters, such as duration and tangential movement. The effects of these factors on roughness discrimination thresholds were determined using an adaptive staircase procedure for coarse and fine texture discrimination during active touch. The presence of tangential movement (dynamic touch) significantly reduced thresholds in coarse and fine texture discrimination compared to static touch, with effects more marked with fine textures. Contact force did not affect discrimination except in static touch of coarse texture when the threshold was significantly higher with low force. Within the perspective that texture discrimination involves distinct vibratory and spatial mechanisms, the results suggest that spatial-dependent texture discrimination deteriorates when contact force is reduced whereas vibration-dependent texture discrimination is unaffected by contact force. Texture discrimination was independent of contact duration in the range 1.36s to 3.46s, suggesting that tactile integration processes are completed relatively quickly. © 2010 Springer-Verlag Berlin Heidelberg.",37.pdf (https://dl.airtable.com/.attachments/2eebc074a5e9cc6ad993876d44fd4c97/a3101277/37.pdf),checked,checked,checked,,,passive is static,https://doi.org/10.1007/978-3-642-14075-4_2
The integration and dissociation of thermal and frictional cues during material identification,242,"This study investigated the effects of thermal and frictional cues during a forced-choice material identification task. Thermal properties of the three materials presented (pine, Lexan, aluminum) were conveyed using either real materials or a temperature-controlled aluminum pad to simulate real material effusivities. Friction either varied for the real materials presented, or was constant when the temperature-controlled aluminum simulation pad was presented. Experiments 1 and 2 employed natural materials, while experiments 3 and 4 involved thermal simulations. Thermal cues alone were allowed in experiments 1 and 3 by allowing participants only static exploration with the index finger, with cutaneous contact only in the normal direction. In Experiments 2 and 4, there was dynamic exploration by lateral stroking of the index finger, allowing both thermal and friction cues to be transmitted. Dependent measures included a judgment of the material that was explored, as well as contact forces. The simulation of material effusivity was shown to be valid as participants had identification accuracies that were similar to real materials during static exploration. Material, identification accuracy was higher when congruent cues were presented and was lower when incongruent cues were presented. Peak normal force was higher during static exploration, compared to dynamic. These results were interpreted in terms of a framework, of single modality competition and cooperation. © 2008 IEEE.",41.pdf (https://dl.airtable.com/.attachments/70ae1c413a14fa6885a44435b384302c/248a56e5/41.pdf),checked,checked,checked,,,passive as static,https://doi.org/10.1109/HAPTICS.2008.4479906
Multisensory integration in the estimation of walked distances,54,"When walking through space, both dynamic visual information (optic flow) and body-based information (proprioceptive and vestibular) jointly specify the magnitude of distance travelled. While recent evidence has demonstrated the extent to which each of these cues can be used independently, less is known about how they are integrated when simultaneously present. Many studies have shown that sensory information is integrated using a weighted linear sum, yet little is known about whether this holds true for the integration of visual and body-based cues for travelled distance perception. In this study using Virtual Reality technologies, participants first travelled a predefined distance and subsequently matched this distance by adjusting an egocentric, in-depth target. The visual stimulus consisted of a long hallway and was presented in stereo via a head-mounted display. Body-based cues were provided either by walking in a fully tracked free-walking space (Exp. 1) or by being passively moved in a wheelchair (Exp. 2). Travelled distances were provided either through optic flow alone, body-based cues alone or through both cues combined. In the combined condition, visually specified distances were either congruent (1.09) or incongruent (0.7 × or 1.4 ×) with distances specified by body-based cues. Responses reflect a consistent combined effect of both visual and body-based information, with an overall higher influence of body-based cues when walking and a higher influence of visual cues during passive movement. When comparing the results of Experiments 1 and 2, it is clear that both proprioceptive and vestibular cues contribute to travelled distance estimates during walking. These observed results were effectively described using a basic linear weighting model. © Springer-Verlag 2012.",43.pdf (https://dl.airtable.com/.attachments/a756e2a9674a705da6e6de042a78c5d4/f2882a28/43.pdf),checked,checked,checked,"Not sure. It's interesting but there is not real static movement, just a restriction.",virtual reality,"different kinds of passive in exp1 and exp2, no comparison across 2 exp",https://doi.org/10.1007/s00221-012-3048-1
Illusion of Wetness by Dynamic Touch,56,"Humans perceive wetness on contact with a dry-cold material; however, the magnitude of wetness that can be perceived using dynamic touch remains unclear. This study assessed how the type of touch, namely hand movement (either statically or dynamically) and pressing force (either low or high pressure), affect the perception of wetness. The participants judged the magnitude of perceived wetness after four types of touch of four stimuli comprising four fabrics of varying water content and surface temperatures. Overall, the perceived wetness was differed between static and dynamic touch independent of pressure and the participants scored the dry-cold stimulus as relatively dry for dynamic touch. Furthermore, cluster analysis revealed individual differences in the recognition of wetness in dynamic touch conditions. These results revealed the variability in the mechanisms used by humans to perceive wetness. Additionally, we discussed the optimal methods to reproduce the wetness perception using this illusion.",45.pdf (https://dl.airtable.com/.attachments/7e78a67489392e829698e363200715a5/5b889b85/45.pdf),checked,checked,checked,,,passive here means static,https://doi.org/10.1109/TOH.2019.2919575
A comparison of visual and two modes of tactual letter resolution,57,"Confusion matrices were obtained for visual letter recognition and for tactual letter recognition with (1) the finger held stationary on small raised letters and (2) the finger allowed to scan them. In each sensory mode, performance was investigated at four letter sizes, with heights ranging from 1.5 to 3.0 min of arc for vision and from 3.0 to 8.0 mm for touch. The two tactual modes yielded similar recognition performance, although performance was always better in the scanned mode. For both vision and touch, performance appeared to be limited by primary receptor spacing. Letter heights corresponding to 50% correct identification (vision, 2.2 rain arc; scanned touch, 4 ram; static touch, 5 ram) spanned about five receptor spacings in each sensory system, indicating that the dimensional equivalence of vision and touch is determined by receptor spacing rather than central factors. The patterns of letter confusions and the productmoment correlations for correct identifications (vision vs. static touch, 0.83; vision vs. scanned touch, 0.75; and static touch vs. scanned touch, 0.89, all taken at comparable performance levels) imply that similar spatial processes are involved in the different modes. © 1983 Psychonomic Society, Inc.",46.pdf (https://dl.airtable.com/.attachments/f1b8f390176d8a29b2dd060730b972ce/46a27e44/46.pdf),checked,checked,checked,,,passive here means static,https://doi.org/10.3758/BF03202952
Haptic discrimination of two-dimensional angles: Influence of exploratory strategy,58,"The aim of this study was to define the relative contribution of self-generated cutaneous and proprioceptive feedback to haptic shape discrimination by systematically constraining the exploratory strategy. Subjects (n = 23) explored pairs of two-dimensional (2-D) angles (standard angle, 90°; comparison angles, 91°-103°) placed at arm's length from the subject, and identified the larger angle of each pair. The exploratory strategies included a reference condition, dynamic scan of the index finger over the entire object [combined cutaneous and proprioceptive (shoulder) feedback], and modified conditions, static touch of the intersection of the two bars that formed the angle using the index finger (cutaneous feedback) and dynamic scans of the object using a hand-held tool (proprioceptive feedback, shoulder). Discrimination thresholds (75% correct) were very similar for dynamic and static touch with the index finger. Thresholds varied as a function of the static contact duration (<1 s, 7.2° ± 0.6°; ∼3 s, 4.2° ± 0.5°), but were not different from the reference condition (6.0° ± 0.9°). The higher threshold with short static touch likely reflects movement-related gating of self-generated tactile inputs. Together, the results suggested that cutaneous feedback alone may be sufficient to explain 2-D angle discrimination, because the added proprioceptive feedback did not improve performance. Also, threshold did not vary with the number of dynamic scans (one or two), suggesting that the critical information was gathered on the first pass over the angle. In contrast, when the angles were explored with the tool, the threshold increased relative to the corresponding reference condition from the same session (tool, 9.6° ± 0.9°; dynamic scan with the finger, 6.2° ± 1.0°). Thus, performance was poorer with proprioceptive feedback alone, suggesting that cutaneous feedback was relatively more important for 2-D haptic angle discrimination in the present experiment. © 2006 Springer-Verlag.",48.pdf (https://dl.airtable.com/.attachments/ad6ce543277f853a51dfee3ee1e6f3a1/78a17ca1/48.pdf),checked,checked,checked,,,passive here means static,https://doi.org/10.1007/s00221-006-0728-8
